hotelId,name,type,description,url,rating,address/full,location/lat,location/lng,stat_2022
14142183,3 rooms apartment in Eilat center city,apartment,"מקום האירוח 3 rooms apartment in Eilat center city ממוקם באילת, במרחק של 1.6 ק''מ מחוף קיסוסקי, 17 ק''מ ממועדון היאכטות המלכותי ו-27 ק''מ מנמל עקבה, ויש בו מרפסת ואינטרנט אלחוטי בחינם. הדירה ממוקמת במרחק של 31 ק''מ ממפרץ טאלה עקבה ו-3.5 ק''מ מEilat Botanical Garden.

בדירה יש מיזוג אוויר, חדר מגורים ומטבח מאובזר במלואו עם מדיח כלים ומיקרוגל. מספר חדרי השינה: 2. מספר חדרי הרחצה: 1. במקום האירוח יש טלוויזיה בעלת מסך שטוח וחדר רחצה עם מייבש שיער.

מקום האירוח 3 rooms apartment in Eilat center city נמצא במרחק של 7.4 ק''מ מפארק המצפה התת ימי ו-17 ק''מ ממבצר עקבה.המרחקים בתיאור מקום האירוח מחושבים באמצעות © OpenStreetMap",https://www.booking.com/hotel/il/apartment-in-eilat-eilat1.he.html?selected_currency=ILS&lang=he&group_adults=2&group_children=0&no_rooms=1&soz=1&lang_changed=1&explicit_lang_change=1&explicit_curr_change=1,9.6,"Los Angeles St. 6, אילת, 8820107, ישראל",29.5574265014395,34.9458540959473,21
2669585,סוויטת קורל ,apartment,"מקום האירוח Koral Suite שוכן באילת, במרחק של 1.6 ק''מ בלבד מחוף קיסוסקי, ומציע אירוח עם נוף לים, אינטרנט אלחוטי בחינם וחניה פרטית בחינם. תוכלו ליהנות ממרפסת וטרסת שמש.

הדירה כוללת מיזוג אוויר, חדר מגורים, מטבח מאובזר במלואו עם מקרר וקומקום וחדר רחצה עם מקלחת ומייבש שיער. מספר חדרי השינה: 2. בדירה תוכלו למצוא מגבות ומצעים.

מקום האירוח Koral Suite ממוקם במרחק של 16 ק''מ ממועדון היאכטות המלכותי ו-23 ק''מ מנמל עקבה.המרחקים בתיאור מקום האירוח מחושבים באמצעות © OpenStreetMap",https://www.booking.com/hotel/il/coral-suite.he.html?selected_currency=ILS&lang=he&group_adults=2&group_children=0&no_rooms=1&soz=1&lang_changed=1&explicit_lang_change=1&explicit_curr_change=1,8.8,"Simtat Yam Suf 10/5, אילת, 88000, ישראל",29.5597487,34.9519821,16
14105361,Mini Penthouse-AH- 75,apartment,"במקום האירוח Mini Penthouse-AH- 75 יש נוף לעיר. הוא מציע טרסה ומרפסת, ושוכן במרחק של כ-1.6 ק''מ מחוף קיסוסקי. הדירה ממוקמת באזור עם מגוון פעילויות, כמו טיולי הליכה ורכיבה על אופניים. במקום יש חניה פרטית בחינם.

הדירה כוללת מיזוג אוויר, חדר מגורים, מטבח מאובזר במלואו עם מקרר ומכונת קפה וחדר רחצה עם מקלחת. מספר חדרי השינה: 1. בדירה תוכלו למצוא מגבות ומצעים.המרחקים בתיאור מקום האירוח מחושבים באמצעות © OpenStreetMap",https://www.booking.com/hotel/il/mini-penthouse-ah-75.he.html?selected_currency=ILS&lang=he&group_adults=2&group_children=0&no_rooms=1&soz=1&lang_changed=1&explicit_lang_change=1&explicit_curr_change=1,9.7,"לוס אנג'לס 6, אילת, 8808239, ישראל",29.557611,34.945755,21
14587456,מגדלי חי 3,apartment,"מקום האירוח מגדלי חי 3 ממוקם באילת, במרחק של 1.2 ק''מ מחוף קיסוסקי ו-16 ק''מ ממועדון היאכטות המלכותי, וכולל מגוון מתקנים ושירותים כמו אינטרנט אלחוטי בחינם וטלוויזיה בעלת מסך שטוח. הדירה ממוקמת במרחק של 3.6 ק''מ מEilat Botanical Garden ו-7.2 ק''מ מפארק המצפה התת ימי.

בדירה יש מיזוג אוויר, חדר מגורים ומטבח מאובזר במלואו עם מקרר ומיקרוגל. מספר חדרי השינה: 2. מספר חדרי הרחצה: 1. בדירה תוכלו למצוא מגבות ומצעים.

מקום האירוח מגדלי חי 3 שוכן במרחק של 27 ק''מ מנמל עקבה ו-31 ק''מ ממפרץ טאלה עקבה.המרחקים בתיאור מקום האירוח מחושבים באמצעות © OpenStreetMap",https://www.booking.com/hotel/il/mgdly-khy.he.html?selected_currency=ILS&lang=he&group_adults=2&group_children=0&no_rooms=1&soz=1&lang_changed=1&explicit_lang_change=1&explicit_curr_change=1,7.3,"אילות 66 68/12, אילת, 8807106, ישראל",29.555081775854365,34.94634226362612,31
14051733,Penthouse-AH- 77,apartment,"במקום האירוח Penthouse-AH- 77 יש נוף לעיר. הוא מציע טרסה ומרפסת, ושוכן במרחק של כ-1.6 ק''מ מחוף קיסוסקי. הדירה ממוקמת באזור עם מגוון פעילויות, כמו טיולי הליכה ורכיבה על אופניים. במקום יש חניה פרטית בחינם.

הדירה כוללת מיזוג אוויר, חדר מגורים, מטבח מאובזר במלואו עם מקרר ומכונת קפה וחדר רחצה עם מקלחת. מספר חדרי השינה: 2. בדירה תוכלו למצוא מגבות ומצעים.

מקום האירוח Penthouse-AH- 77 כולל מתקני ברביקיו.

מקום האירוח Penthouse-AH- 77 ממוקם במרחק של 17 ק''מ ממועדון היאכטות המלכותי ו-28 ק''מ מנמל עקבה.המרחקים בתיאור מקום האירוח מחושבים באמצעות © OpenStreetMap",https://www.booking.com/hotel/il/penthouse-ah-77.he.html?selected_currency=ILS&lang=he&group_adults=2&group_children=0&no_rooms=1&soz=1&lang_changed=1&explicit_lang_change=1&explicit_curr_change=1,9.8,"לוס אנג'לס 6 77, אילת, 8808239, ישראל",29.557611,34.945755,21
14574638,joy joy,apartment,"מקום האירוח joy joy ממוקם באילת, במרחק של 1.6 ק''מ בלבד מפנינת חוף אלמוג, וכולל אירוח עם נוף לים, אינטרנט אלחוטי בחינם וחניה פרטית בחינם. הדירה ממוקמת במרחק של 31 ק''מ ממפרץ טאלה עקבה ו-2.7 ק''מ מEilat Botanical Garden.

בדירה יש מצעים, מגבות, טלוויזיה בעלת מסך שטוח עם ערוצי כבלים, פינת אוכל, מטבח מאובזר במלואו ומרפסת עם נוף לעיר. מספר חדרי השינה: 1. מספר חדרי הרחצה: 1.

מקום האירוח joy joy נמצא במרחק של 16 ק''מ ממועדון היאכטות המלכותי ו-26 ק''מ מנמל עקבה.במיוחד זוגות אוהבים את המיקום הזה – הם נתנו לו ציון של 8.5 בגלל ההתאמה לטיול זוגי.המרחקים בתיאור מקום האירוח מחושבים באמצעות © OpenStreetMap",https://www.booking.com/hotel/il/joy-joy.he.html?selected_currency=ILS&lang=he&group_adults=2&group_children=0&no_rooms=1&soz=1&lang_changed=1&explicit_lang_change=1&explicit_curr_change=1,9.6,"סמטת ים סוף בניין 8 דירה 10, אילת, 8801163, ישראל",29.5597454,34.9523097,16
14794755,Mini Penthouse -AH- 74,apartment,"במקום האירוח Mini Penthouse -AH- 74 יש נוף לעיר, מרפסת וקומקום, והוא שוכן במרחק של כ-1.6 ק''מ מחוף קיסוסקי. הדירה ממוקמת באזור עם מגוון פעילויות, כמו טיולי הליכה ורכיבה על אופניים. במקום יש חניה פרטית בחינם.

הדירה כוללת מיזוג אוויר, חדר מגורים, מטבח מאובזר במלואו עם מקרר ומכונת קפה וחדר רחצה עם מקלחת. מספר חדרי השינה: 1. בדירה תוכלו למצוא מגבות ומצעים.

מקום האירוח Mini Penthouse -AH- 74 כולל מרפסת שמש.

מקום האירוח Mini Penthouse -AH- 74 ממוקם במרחק של 17 ק''מ ממועדון היאכטות המלכותי ו-27 ק''מ מנמל עקבה.המרחקים בתיאור מקום האירוח מחושבים באמצעות © OpenStreetMap",https://www.booking.com/hotel/il/apartment-ah-74.he.html?selected_currency=ILS&lang=he&group_adults=2&group_children=0&no_rooms=1&soz=1&lang_changed=1&explicit_lang_change=1&explicit_curr_change=1,0.0,"לוס אנג'לס 6, אילת, 8808239, ישראל",29.557611,34.945755,21
15357267,Mini Penthouse -AH- 78,apartment,"מקום האירוח Mini Penthouse -AH- 78 שוכן במרחק של 1.6 ק''מ מחוף קיסוסקי ו-17 ק''מ ממועדון היאכטות המלכותי, ומציע אינטרנט אלחוטי בחינם וטרסה. הדירה ממוקמת באזור עם מגוון פעילויות, כמו טיולי הליכה ורכיבה על אופניים. במקום יש חניה פרטית בחינם.

בדירה יש מיזוג אוויר וגם מטבח מאובזר במלואו עם מקרר ותנור. מספר חדרי השינה: 1. מספר חדרי הרחצה: 1. בדירה תוכלו למצוא מגבות ומצעים.

מקום האירוח Mini Penthouse -AH- 78 נמצא במרחק של 27 ק''מ מנמל עקבה ו-31 ק''מ ממפרץ טאלה עקבה.המרחקים בתיאור מקום האירוח מחושבים באמצעות © OpenStreetMap",https://www.booking.com/hotel/il/mini-penthouse-ah-78.he.html?selected_currency=ILS&lang=he&group_adults=2&group_children=0&no_rooms=1&soz=1&lang_changed=1&explicit_lang_change=1&explicit_curr_change=1,9.0,"לוס אנג'לס 6 78, אילת, 8800000, ישראל",29.557611,34.945755,21
14973159,Skyview Apartment- By Harim,apartment,"מקום האירוח Skyview Apartment- By Harim ממוקם באילת שבאזור South District Israel, וכולל מרפסת. מקום האירוח נמצא במרחק של 1.6 ק''מ מחוף קיסוסקי, ויש בו אינטרנט אלחוטי בחינם וחניה פרטית שזמינה במקום האירוח.

בדירה יש מיזוג אוויר וגם מטבח מאובזר במלואו. מספר חדרי השינה: 1. מספר חדרי הרחצה: 2. לרשותכם טלוויזיה בעלת מסך שטוח.

מקום האירוח Skyview Apartment- By Harim שוכן במרחק של 17 ק''מ ממועדון היאכטות המלכותי ו-27 ק''מ מנמל עקבה.המרחקים בתיאור מקום האירוח מחושבים באמצעות © OpenStreetMap",https://www.booking.com/hotel/il/skyview-apartment-by-harim.he.html?selected_currency=ILS&lang=he&group_adults=2&group_children=0&no_rooms=1&soz=1&lang_changed=1&explicit_lang_change=1&explicit_curr_change=1,10.0,"לוס אנג'לס 6 59,6,6, אילת, 8808239, ישראל",29.557611,34.945755,21
14795456,Apartment-AH- 65,apartment,"במקום האירוח Apartment-AH- 65 יש נוף לעיר, מרפסת וקומקום, והוא שוכן במרחק של כ-1.6 ק''מ מחוף קיסוסקי. הדירה ממוקמת באזור עם מגוון פעילויות, כמו טיולי הליכה ורכיבה על אופניים. במקום יש חניה פרטית בחינם.

הדירה כוללת מיזוג אוויר, חדר מגורים, מטבח מאובזר במלואו עם מקרר ומכונת קפה וחדר רחצה עם מקלחת. מספר חדרי השינה: 2. בדירה תוכלו למצוא מגבות ומצעים.

במקום האירוח Apartment-AH- 65 אפשר למצוא גם מרפסת שמש.

מקום האירוח Apartment-AH- 65 נמצא במרחק של 17 ק''מ ממועדון היאכטות המלכותי ו-27 ק''מ מנמל עקבה.המרחקים בתיאור מקום האירוח מחושבים באמצעות © OpenStreetMap",https://www.booking.com/hotel/il/apartment-ah-65.he.html?selected_currency=ILS&lang=he&group_adults=2&group_children=0&no_rooms=1&soz=1&lang_changed=1&explicit_lang_change=1&explicit_curr_change=1,8.0,"לוס אנג'לס 6, אילת, 8808239, ישראל",29.557611,34.945755,21
